Dp,Rcn,Rccn
11.23,2.16011751049212,0.0
11.39,1.560078627982324,0.0
11.56,1.560078627982324,0.0
11.73,0.36001526464480166,0.0
11.9,1.3200644191483035,0.0
12.08,0.8000362683051411,0.0
12.26,0.9600445460620227,0.0
12.44,0.6000264011568509,0.0
12.62,0.7200322574396036,0.0
12.81,0.12000489619941933,0.0
12.99,0.12000489619941933,0.0
13.19,0.12000489619941933,0.0
13.38,0.12000489619941933,0.0
13.58,0.0,0.0
13.78,0.12000489619941933,0.0
13.98,0.0,0.0
14.19,0.0,0.0
14.4,0.0,0.0
14.61,0.0,0.0
14.83,0.0,0.0
15.05,0.0,0.0
15.27,0.0,0.0
15.49,0.1000040668318067,0.0
15.72,0.0,0.0
15.96,0.0,0.0
16.19,0.0,0.0
16.43,0.24000998441412283,0.0
16.68,0.36001526464480166,0.0
16.92,0.6000264011568509,0.0
17.17,1.680086020434358,0.0
17.43,2.16011751049212,0.0
17.69,2.640152072982467,0.0
17.95,2.400134407680455,0.0
18.22,2.5201431443169056,0.0
18.49,2.5201431443169056,0.0
18.76,2.16011751049212,0.0
19.04,2.400134407680455,0.0
19.33,2.5201431443169056,0.0
19.61,1.7000872711787052,0.0
19.9,2.2801258630724237,0.0
20.2,2.8801705064036853,0.0
20.5,2.76016119367783,0.0
20.81,1.920101381411932,0.0
21.12,2.2801258630724237,0.0
21.43,3.1201897079496437,0.0
21.75,2.0401093499388536,0.0
22.08,1.680086020434358,0.0
22.41,2.8801705064036853,0.0
22.74,4.080274195491481,0.0
23.08,5.5204239714866965,0.0
23.43,3.960262962422666,0.0
23.78,3.3602096776258708,0.0
24.13,4.920358204078665,0.0
24.5,5.280397088389138,0.0
24.86,4.800345626728641,0.0
25.24,4.920358204078665,0.0
25.61,5.280397088389138,0.0
26.0,6.360524111825924,0.0
26.39,4.920358204078665,0.0
26.79,5.1603839349082214,0.0
27.19,6.480539185788083,0.0
27.6,6.840585559988893,0.0
28.01,5.5204239714866965,0.0
28.44,6.000480042244097,0.0
28.86,4.680333241420863,0.0
29.3,4.320297237744097,0.0
29.74,4.800345626728641,0.0
30.19,3.600230415437898,0.0
30.65,4.920358204078665,0.0
31.11,5.5204239714866965,0.0
31.58,4.200285620598395,0.0
32.06,4.920358204078665,0.0
32.54,5.880465736482731,0.0
33.04,5.280397088389138,0.0
33.54,4.4403090469292845,0.0
34.05,5.1603839349082214,0.0
34.57,4.680333241420863,0.0
35.09,4.800345626728641,0.0
35.63,4.920358204078665,0.0
36.17,6.000480042244097,0.0
36.72,6.000480042244097,0.0
37.28,4.4403090469292845,0.0
37.85,5.040370973471629,0.0
38.43,6.360524111825924,0.0
39.01,7.800717674951184,0.0
39.61,7.560683493867237,0.0
40.22,6.600554451802169,0.0
40.83,7.700703339470917,0.0
41.46,8.160770387025341,0.0
42.1,9.36095857804866,0.0
42.74,9.480978453516466,0.0
43.4,7.4406666914128365,0.0
44.07,6.840585559988893,0.0
44.75,9.841039232337941,0.0
45.44,8.280788341839026,0.0
46.14,7.920735053582115,0.0
46.85,7.4406666914128365,0.24009603841536614
47.58,9.841039232337941,0.24009603841536614
48.32,9.961059876086763,0.12004801920768307
49.07,11.401322582885024,0.12004801920768307
49.83,12.241488601779437,0.12004801920768307
50.6,13.681795103433949,0.12004801920768307
51.39,12.241488601779437,0.36014405762304924
52.19,12.001440207394362,0.36014405762304924
53.0,11.761392581344245,0.24009603841536614
53.83,14.00186697136427,0.7202881152460985
54.67,12.721587695576604,1.0804321728691477
55.53,13.681795103433949,1.0804321728691477
56.4,15.602246801440224,1.0804321728691477
57.28,16.32242886693687,1.0804321728691477
